Booster_Doses_50Plus,prop_age8084,new_cases_50_min,new_deaths_10_max,PEOPLE_POSITIVE_NEW_CASES_COUNT,Vaccine_available,new_cases_10_max,new_deaths_100_max,income_support,new_cases_100_max,rainfall_mm,new_cases_30_lag,new_cases_350_lag,new_deaths_7_lag,new_cases_50_lag,international_travel_controls,new_cases_150_lag,new_deaths_3_lag,new_deaths_4_lag,new_deaths_1_lag,vaccination_policy,minimum_temperature_celsius,new_cases_3_lag,new_cases_1 lag,new_deaths_10_min,new_deaths_50_max,GDP_current_dollar,new_deaths_10_mean,debt_relief,new_cases_100_min,restrictions_on_internal_movement,restrictions_on_gatherings,new_hospitalized_patients,new_cases_50_max,PROVINCE_STATE_NAME,workplace_closing,school_closing,dew_point,vaccination_rate_1dose,new_deaths_50_min,Series_Complete_5Plus,new_deaths_50_lag,new_cases_10_mean,contact_tracing,new_deaths_30_lag,vaccination_rate_complete,new_cases_100_std,new_deaths_100_min,facial_coverings,Booster_Doses_5Plus,new_cases_7_lag
0.0,1.716469941143982,5.0,1.0,23,0,60.0,55.0,1.0,8389.0,3.245556,28.0,282.0,1.0,752.0,3.0,711.0,0.0,0.0,1.0,0.0,7.024691,12.0,7.0,0.0,38.0,3068809392,0.4,1.0,5.0,0.0,2.0,0.0,573.0,California,0.0,1.0,10.880952,0.0,0.0,0.0,14.0,16.9,1.0,3.0,0.0,1124.629001183486,0.0,0.0,0.0,10.0
0.0,1.716469941143982,5.0,1.0,50,0,60.0,55.0,1.0,4235.0,0.874889,31.0,180.0,0.0,573.0,3.0,205.0,1.0,0.0,1.0,0.0,6.580247,60.0,23.0,0.0,38.0,3068809392,0.4,1.0,5.0,0.0,2.0,0.0,262.0,California,1.0,1.0,9.388889,0.0,0.0,0.0,13.0,21.4,1.0,5.0,0.0,807.9601497198291,0.0,0.0,0.0,12.0
0.0,1.716469941143982,5.0,1.0,68,0,68.0,55.0,1.0,4037.0,0.0,87.0,220.0,0.0,250.0,3.0,268.0,1.0,1.0,0.0,0.0,6.290123,7.0,50.0,0.0,38.0,3068809392,0.5,1.0,5.0,0.0,2.0,0.0,262.0,California,1.0,2.0,9.539683,0.0,0.0,0.0,25.0,27.5,1.0,3.0,0.0,718.2003853628098,0.0,0.0,0.0,14.0
0.0,1.716469941143982,5.0,1.0,61,0,68.0,55.0,1.0,4037.0,0.0,126.0,212.0,0.0,262.0,3.0,730.0,1.0,1.0,1.0,0.0,9.320988,23.0,68.0,0.0,38.0,3068809392,0.4,1.0,5.0,0.0,2.0,0.0,204.0,California,1.0,2.0,7.888889,0.0,0.0,0.0,13.0,32.6,1.0,9.0,0.0,625.6466181543826,0.0,0.0,0.0,19.0
0.0,1.716469941143982,5.0,1.0,97,0,97.0,55.0,1.0,2630.0,2.935111,87.0,155.0,0.0,184.0,3.0,983.0,0.0,1.0,0.0,0.0,7.5,50.0,61.0,0.0,15.0,3068809392,0.5,1.0,5.0,0.0,2.0,0.0,204.0,California,1.0,2.0,6.730159,0.0,0.0,0.0,38.0,41.1,1.0,7.0,0.0,512.1115151403343,0.0,0.0,0.0,12.0
0.0,1.716469941143982,5.0,5.0,110,0,110.0,55.0,1.0,2630.0,6.519333,74.0,61.0,1.0,115.0,3.0,764.0,1.0,0.0,1.0,0.0,5.012346,68.0,97.0,0.0,15.0,3068809392,1.0,1.0,5.0,1.0,4.0,0.0,204.0,California,1.0,2.0,7.587302,0.0,0.0,0.0,6.0,50.7,1.0,4.0,0.0,504.72594934214425,0.0,0.0,0.0,60.0
0.0,1.716469941143982,5.0,5.0,144,0,144.0,55.0,1.0,2630.0,18.372667,80.0,30.0,1.0,36.0,3.0,1113.0,0.0,1.0,5.0,0.0,1.438272,61.0,110.0,0.0,15.0,3068809392,1.3,2.0,5.0,1.0,4.0,0.0,204.0,California,3.0,3.0,4.452381,0.0,0.0,0.0,1.0,63.2,1.0,3.0,0.0,501.2938064687965,0.0,0.0,0.0,7.0
0.0,1.716469941143982,5.0,5.0,161,0,161.0,55.0,1.0,2630.0,0.733778,30.0,75.0,1.0,17.0,3.0,777.0,1.0,0.0,3.0,0.0,0.814815,97.0,144.0,0.0,15.0,3068809392,1.6,2.0,5.0,1.0,4.0,0.0,204.0,California,3.0,3.0,3.81746,0.0,0.0,0.0,1.0,78.1,1.0,9.0,0.0,499.0228685473924,0.0,0.0,0.0,23.0
0.0,1.716469941143982,5.0,5.0,174,0,174.0,55.0,1.0,2630.0,0.254,27.0,236.0,0.0,153.0,3.0,397.0,5.0,1.0,3.0,0.0,2.32716,110.0,161.0,0.0,15.0,3068809392,1.7,2.0,5.0,2.0,4.0,0.0,204.0,California,3.0,3.0,6.388889,0.0,0.0,0.0,0.0,89.5,1.0,6.0,0.0,498.4947175590512,0.0,0.0,0.0,50.0
0.0,1.716469941143982,5.0,5.0,216,0,216.0,55.0,1.0,2102.0,3.245556,105.0,200.0,1.0,92.0,3.0,416.0,3.0,5.0,2.0,0.0,2.432099,144.0,174.0,0.0,15.0,3068809392,2.1,2.0,5.0,2.0,4.0,0.0,216.0,California,3.0,3.0,4.97619,0.0,0.0,0.0,7.0,110.4,1.0,0.0,0.0,444.44937719477525,0.0,0.0,0.0,68.0
